id,name,state,plan,created_at
1,Santos & Silva Atacado Distribuidora,BA,free,2023-04-17 00:16:11
2,Souza & Souza Comércio Distribuidora,DF,premium,2022-09-09 22:06:21
3,Santos & Almeida Distribuidora Distribuidora,AM,basic,2022-12-16 08:31:25
4,Nascimento & Ferreira Alimentos Distribuidora,GO,basic,2023-05-30 23:12:37
5,Silva & Santos Suprimentos Distribuidora,BA,premium,2023-03-06 10:29:33
6,Souza & Almeida Alimentos Distribuidora,AM,basic,2023-07-10 08:43:57
7,Almeida & Souza Grupo Distribuidora,AM,free,2023-07-06 16:54:48
8,Souza & Rodrigues Atacado Distribuidora,RS,free,2023-01-05 19:42:42
9,Silva & Oliveira Grupo Distribuidora,GO,free,2023-03-30 00:59:04
10,Costa & Lima Comércio Distribuidora,MG,free,2023-05-19 01:38:15
11,Souza & Costa Distribuidora Distribuidora,RJ,free,2022-09-30 00:32:29
12,Santos & Ferreira Distribuidora Distribuidora,PA,premium,2023-07-26 12:44:39
13,Costa & Costa Atacado Distribuidora,SC,free,2023-07-28 03:07:09
14,Silva & Rodrigues Distribuidora Distribuidora,RJ,free,2022-10-31 22:33:06
15,Ferreira & Santos Atacado Distribuidora,SP,free,2023-07-02 18:42:33
16,Nascimento & Costa Suprimentos Distribuidora,PA,premium,2022-10-03 02:37:34
17,Santos & Silva Suprimentos Distribuidora,PA,free,2023-06-07 15:29:14
18,Lima & Santos Suprimentos Distribuidora,RN,basic,2023-06-11 20:56:24
19,Santos & Ferreira Atacado Distribuidora,CE,free,2022-10-08 18:14:51
20,Rodrigues & Costa Comércio Distribuidora,MS,free,2023-07-09 07:23:40
21,Costa & Costa Suprimentos Distribuidora,DF,free,2023-01-08 02:51:44
22,Lima & Santos Comércio Distribuidora,DF,free,2022-08-10 15:01:32
23,Almeida & Souza Comércio Distribuidora,PA,basic,2022-10-09 15:45:45
24,Rodrigues & Ferreira Atacado Distribuidora,MG,free,2023-05-14 01:16:42
25,Almeida & Souza Mercado Distribuidora,PR,basic,2023-07-26 00:50:46
26,Silva & Souza Alimentos Distribuidora,BA,free,2022-12-08 00:11:34
27,Costa & Ferreira Atacado Distribuidora,PE,free,2023-05-31 20:22:14
28,Santos & Souza Mercado Distribuidora,BA,free,2023-07-28 11:49:58
29,Souza & Rodrigues Grupo Distribuidora,PB,free,2023-01-07 21:26:41
30,Rodrigues & Oliveira Atacado Distribuidora,RS,basic,2023-06-08 13:22:24
31,Oliveira & Souza Atacado Distribuidora,ES,free,2023-04-18 03:59:13
32,Nascimento & Ferreira Grupo Distribuidora,PB,free,2023-07-02 13:39:37
33,Costa & Souza Comércio Distribuidora,PE,free,2023-05-13 11:13:58
34,Almeida & Rodrigues Distribuidora Distribuidora,RJ,free,2023-06-11 20:43:52
35,Silva & Santos Comércio Distribuidora,DF,basic,2022-11-05 09:05:10
36,Oliveira & Ferreira Distribuidora Distribuidora,BA,basic,2022-11-12 14:48:34
37,Ferreira & Ferreira Brasil Distribuidora,PA,free,2022-10-01 19:49:53
38,Almeida & Lima Alimentos Distribuidora,GO,premium,2023-06-02 18:51:44
39,Santos & Almeida Atacado Distribuidora,DF,free,2023-04-30 08:23:11
40,Costa & Santos Atacado Distribuidora,MG,premium,2022-09-11 23:31:27
41,Ferreira & Oliveira Brasil Distribuidora,ES,free,2022-12-27 13:32:50
42,Silva & Lima Comércio Distribuidora,RN,free,2023-07-05 17:11:01
43,Almeida & Santos Atacado Distribuidora,RS,free,2022-08-16 00:56:22
44,Almeida & Nascimento Suprimentos Distribuidora,PB,basic,2023-06-30 10:40:08
45,Oliveira & Costa Comércio Distribuidora,GO,basic,2023-01-30 19:08:56
46,Almeida & Almeida Alimentos Distribuidora,RS,basic,2022-10-26 09:13:57
47,Nascimento & Costa Brasil Distribuidora,RJ,free,2022-10-17 12:09:12
48,Silva & Santos Mercado Distribuidora,SC,basic,2023-06-14 03:08:19
49,Lima & Souza Alimentos Distribuidora,CE,basic,2023-07-23 16:35:31
50,Souza & Nascimento Distribuidora Distribuidora,RS,free,2023-01-26 18:20:13
51,Santos & Rodrigues Distribuidora Distribuidora,PB,free,2022-12-14 19:03:09
52,Almeida & Oliveira Comércio Distribuidora,PA,free,2022-11-27 12:35:06
53,Rodrigues & Almeida Comércio Distribuidora,RJ,premium,2023-06-15 15:57:12
54,Lima & Almeida Grupo Distribuidora,CE,free,2023-06-05 21:09:26
55,Souza & Almeida Suprimentos Distribuidora,RS,premium,2023-07-05 09:19:09
56,Lima & Ferreira Mercado Distribuidora,ES,free,2022-10-28 09:20:37
57,Rodrigues & Almeida Brasil Distribuidora,MS,premium,2022-10-26 13:47:53
58,Santos & Souza Suprimentos Distribuidora,DF,basic,2022-08-10 04:34:06
59,Santos & Costa Alimentos Distribuidora,GO,free,2023-04-14 07:57:18
60,Nascimento & Almeida Suprimentos Distribuidora,ES,basic,2022-10-15 00:06:00
61,Nascimento & Souza Alimentos Distribuidora,GO,basic,2023-01-02 17:58:19
62,Santos & Silva Suprimentos Distribuidora,MS,premium,2022-12-06 11:37:23
63,Santos & Silva Mercado Distribuidora,MT,free,2022-11-17 04:46:07
64,Santos & Almeida Suprimentos Distribuidora,PB,free,2023-07-02 16:21:12
65,Lima & Rodrigues Suprimentos Distribuidora,DF,basic,2022-08-27 23:02:53
66,Almeida & Oliveira Brasil Distribuidora,MT,premium,2023-05-28 07:55:36
67,Souza & Rodrigues Grupo Distribuidora,PE,free,2022-11-17 09:38:00
68,Souza & Santos Distribuidora Distribuidora,DF,free,2022-12-15 08:55:08
69,Ferreira & Costa Grupo Distribuidora,MT,premium,2023-04-07 03:02:35
70,Ferreira & Rodrigues Alimentos Distribuidora,SP,free,2023-02-14 20:00:18
71,Santos & Silva Grupo Distribuidora,BA,basic,2023-01-03 05:16:21
72,Costa & Santos Suprimentos Distribuidora,PE,premium,2023-04-21 21:34:04
73,Souza & Souza Brasil Distribuidora,SP,basic,2023-06-24 15:29:31
74,Oliveira & Ferreira Comércio Distribuidora,PA,basic,2023-02-25 05:53:34
75,Lima & Rodrigues Suprimentos Distribuidora,GO,free,2022-12-07 14:32:25
76,Santos & Rodrigues Distribuidora Distribuidora,AM,basic,2023-07-31 18:19:28
77,Silva & Almeida Alimentos Distribuidora,RN,basic,2022-08-11 17:15:20
78,Santos & Souza Comércio Distribuidora,GO,free,2022-09-14 19:03:46
79,Ferreira & Rodrigues Brasil Distribuidora,MG,free,2023-07-07 14:35:25
80,Souza & Ferreira Alimentos Distribuidora,MG,premium,2022-11-10 10:42:07
81,Oliveira & Ferreira Alimentos Distribuidora,SP,basic,2022-10-09 08:22:21
82,Ferreira & Lima Brasil Distribuidora,PR,free,2023-03-14 11:29:18
83,Lima & Ferreira Brasil Distribuidora,CE,premium,2022-11-12 02:19:33
84,Oliveira & Souza Atacado Distribuidora,BA,premium,2022-08-15 20:34:58
85,Souza & Silva Alimentos Distribuidora,PE,basic,2022-09-12 02:23:05
86,Costa & Silva Alimentos Distribuidora,BA,premium,2023-03-20 16:26:49
87,Nascimento & Rodrigues Comércio Distribuidora,PE,free,2023-01-16 18:25:40
88,Silva & Almeida Distribuidora Distribuidora,GO,free,2022-12-13 06:02:14
89,Oliveira & Santos Distribuidora Distribuidora,PA,basic,2023-05-10 22:31:55
90,Souza & Ferreira Distribuidora Distribuidora,RJ,premium,2023-06-02 10:02:30
91,Nascimento & Souza Alimentos Distribuidora,SP,premium,2022-11-30 19:41:04
92,Nascimento & Santos Grupo Distribuidora,MS,free,2023-01-17 11:29:08
93,Nascimento & Nascimento Mercado Distribuidora,PR,premium,2023-03-24 10:16:33
94,Lima & Souza Mercado Distribuidora,MG,premium,2023-02-15 14:48:30
95,Souza & Lima Grupo Distribuidora,PA,premium,2022-09-14 21:53:48
96,Oliveira & Lima Brasil Distribuidora,GO,basic,2022-12-28 14:16:53
97,Costa & Santos Alimentos Distribuidora,MG,basic,2023-07-16 07:59:30
98,Rodrigues & Nascimento Distribuidora Distribuidora,SP,basic,2023-03-12 22:11:24
99,Santos & Almeida Suprimentos Distribuidora,MG,free,2022-10-13 19:39:45
100,Almeida & Lima Comércio Distribuidora,PR,premium,2022-11-07 22:11:09
101,Costa & Santos Suprimentos Distribuidora,DF,premium,2022-08-18 05:42:44
102,Costa & Lima Comércio Distribuidora,ES,free,2023-05-03 06:21:27
103,Rodrigues & Almeida Atacado Distribuidora,MG,free,2023-01-17 08:21:02
104,Nascimento & Almeida Alimentos Distribuidora,SP,free,2022-08-01 15:45:49
105,Almeida & Lima Distribuidora Distribuidora,PR,free,2023-02-18 22:00:31
106,Oliveira & Lima Distribuidora Distribuidora,ES,premium,2023-07-26 10:59:08
107,Santos & Almeida Comércio Distribuidora,BA,free,2023-06-10 05:13:34
108,Lima & Lima Suprimentos Distribuidora,PE,free,2023-02-26 02:44:10
109,Costa & Souza Atacado Distribuidora,DF,free,2023-04-24 17:58:21
110,Almeida & Rodrigues Atacado Distribuidora,DF,free,2023-05-07 09:34:24
111,Silva & Santos Grupo Distribuidora,CE,free,2023-05-16 03:28:33
112,Lima & Silva Alimentos Distribuidora,MT,basic,2023-05-14 05:41:21
113,Costa & Oliveira Atacado Distribuidora,BA,basic,2023-04-18 10:42:38
114,Oliveira & Rodrigues Grupo Distribuidora,RN,free,2022-10-16 12:30:01
115,Almeida & Silva Distribuidora Distribuidora,RS,basic,2022-12-20 10:47:24
116,Santos & Oliveira Alimentos Distribuidora,PR,basic,2023-01-15 11:58:59
117,Costa & Nascimento Comércio Distribuidora,BA,basic,2022-08-28 04:12:11
118,Ferreira & Oliveira Alimentos Distribuidora,MT,free,2023-04-15 23:08:38
119,Lima & Costa Alimentos Distribuidora,DF,basic,2023-07-24 14:12:23
120,Costa & Souza Suprimentos Distribuidora,AM,premium,2022-12-07 05:41:14
